participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.completionlink,session.config.real_world_currency_per_point,session.config.name,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.topic_number,my_survey_static.1.player.tmp_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.topic_number,my_survey_static.2.player.tmp_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.topic_number,my_survey_static.3.player.tmp_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.topic_number,my_survey_static.4.player.tmp_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
11,32166s08,615922,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:31:11.685493,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,11,,0.0,615922,3,3,-1,19.08,1,13.07,9682714053,1,36,,40.35,3,0,34.78,1,0,24.73,1,1,11,,0.0,615922,4,34,-1,11.59,1,9.77,0381497256,1,43,,35.15,3,0,30.33,0,0,5.93,1,2,11,,0.0,615922,1,341,-1,19.26,1,5.63,6057213489,7,14,,24.28,3,0,33.81,-1,0,3.42,1,3,11,,0.0,615922,2,3412,-1,10.43,1,1.91,0813257694,3,23,,22.78,3,0,19.48,-1,0,4.14,1,4,11,,0.0,Independent,,Democrat Party,1,1,11,,0.0,45-54,Female,,,1,1
12,vk0tvayi,726193,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:31:18.081059,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,12,,0.0,726193,2,2,-1,16.08,1,10.18,5913267804,4,22,,20.35,3,0,35.8,0,1,23.71,1,1,12,,0.0,726193,4,24,-2,4.88,1,1.73,8354609721,8,42,,26.61,0,1,17.25,-2,0,4.7,1,2,12,,0.0,726193,1,241,0,7.58,1,1.62,9238074156,1,12,,21.05,3,1,29.74,-1,0,4.39,1,3,12,,0.0,726193,3,2413,0,7.66,1,1.71,0732594861,9,31,,20.59,3,1,30.52,0,0,1.56,1,4,12,,0.0,Democrat,Strong,,1,1,12,,0.0,35-44,Male,,,1,1
13,uikt02sd,418553,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:32:10.243927,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,13,,0.0,418553,4,4,-2,21.2,1,18.62,6180723594,4,47,,44.13,3,1,123.7,-1,1,37.36,1,1,13,,0.0,418553,3,43,-2,22.5,1,9.4,8174092536,4,30,,40.72,3,1,67.28,-2,0,8.22,1,2,13,,0.0,418553,1,431,-2,8.64,1,5.66,0214379856,1,12,,29.23,3,1,116.05,-2,0,3.63,1,3,13,,0.0,418553,2,4312,-2,4.61,1,3.37,4890735216,7,22,,25.38,3,1,59.98,-2,0,3.55,1,4,13,,0.0,Democrat,Strong,,1,1,13,,0.0,25-34,Male,,,1,1
14,t7t37687,820778,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:33:17.583769,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,14,,0.0,820778,4,4,-2,15.43,1,10.93,5467301289,1,44,,22.63,0,1,79.08,0,0,12.57,1,1,14,,0.0,820778,3,43,-2,11.72,1,3.7,7264095831,2,36,,20.8,1,1,96.16,0,0,13.02,1,2,14,,0.0,820778,1,431,-2,8.43,1,3.59,9873152064,4,11,,14.52,0,1,35.36,-1,0,3.93,1,3,14,,0.0,820778,2,4312,-1,4.69,1,2.87,3789024156,7,21,,20.0,0,1,13.13,-2,0,4.25,1,4,14,,0.0,Independent,,Democrat Party,1,1,14,,0.0,55-64,Female,,,1,1
15,1wlel8w2,196239,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:33:55.012076,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,15,,0.0,196239,2,2,-2,6.5,1,4.19,3064951782,6,21,,20.5,2,1,35.79,-1,0,9.94,1,1,15,,0.0,196239,4,24,-2,3.13,1,4.14,5794162308,0,45,,33.07,2,1,48.08,0,0,4.44,1,2,15,,0.0,196239,1,241,-2,4.15,1,3.85,9217034568,4,10,,14.21,2,1,31.52,0,0,4.1,1,3,15,,0.0,196239,3,2413,-2,26.53,1,3.73,8425901673,1,34,,15.23,2,1,91.35,0,0,3.41,1,4,15,,0.0,Democrat,Strong,,1,1,15,,0.0,35-44,Male,,,1,1
16,vzcvf4ul,351950,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:33:56.984077,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,16,,0.0,351950,3,3,-2,19.55,1,13.36,4159870362,6,30,,30.8,3,1,74.77,-1,1,24.66,1,1,16,,0.0,351950,2,32,-2,9.94,1,4.45,7638902145,2,23,,69.73,0,1,27.05,-1,0,10.81,1,2,16,,0.0,351950,4,324,-2,5.17,1,10.21,3081564972,3,41,,48.41,3,1,69.52,-2,0,5.97,1,3,16,,0.0,351950,1,3241,-2,5.01,1,6.25,2369741805,0,12,,74.72,0,1,42.76,-1,0,4.58,1,4,16,,0.0,Independent,,Democrat Party,1,1,16,,0.0,25-34,Female,,None,1,1
17,zfy55vvg,904073,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:33:58.827237,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,17,,0.0,904073,4,4,0,27.8,1,26.28,4167085923,0,44,,31.0,3,1,146.64,-2,0,43.58,1,1,17,,0.0,904073,3,43,2,36.9,1,19.14,6539472180,0,36,,45.11,2,0,27.4,2,0,8.7,1,2,17,,0.0,904073,2,432,1,45.38,1,3.53,3598426017,0,23,,7.36,3,0,51.15,0,0,5.57,1,3,17,,0.0,904073,1,4321,0,14.05,1,2.24,2895607413,0,12,,12.81,3,0,22.23,0,0,7.31,1,4,17,,0.0,Republican,Strong,,1,1,17,,0.0,55-64,Female,,,1,1
18,rqmuw9dy,399643,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:34:00.422192,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,18,,0.0,399643,3,3,1,36.54,1,21.69,0267358419,3,37,,19.03,3,0,38.58,1,0,25.21,1,1,18,,0.0,399643,2,32,1,10.36,1,10.07,9321576804,4,25,,13.85,3,0,25.91,-1,0,15.66,1,2,18,,0.0,399643,1,321,1,98.17,1,12.69,9487156203,9,13,,21.93,3,0,10.27,-1,0,27.19,1,3,18,,0.0,399643,4,3214,1,5.37,1,4.13,1042796385,0,41,,2.43,3,1,63.85,0,0,3.6,1,4,18,,0.0,Independent,,Republican Party,1,1,18,,0.0,25-34,Female,,,1,1
19,sb56uhnr,269913,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:34:06.061853,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,19,,0.0,269913,2,2,2,24.87,1,36.95,7420169538,3,20,,34.08,1,1,123.5,-1,0,15.59,1,1,19,,0.0,269913,1,21,1,11.2,1,16.09,5297614830,3,17,,19.12,1,1,82.88,-1,0,9.46,1,2,19,,0.0,269913,4,214,2,5.5,1,14.14,8391026574,0,48,,13.23,2,1,44.62,2,0,7.71,1,3,19,,0.0,269913,3,2143,2,4.83,1,9.65,8239541706,8,30,,11.39,3,1,50.19,-1,0,15.15,1,4,19,,0.0,Independent,,Center,1,1,19,,0.0,55-64,Male,,,1,1
20,2pt8obkh,298211,0,26,26,demographics_and_payment,PaymentInfo,2025-07-21 15:34:55.189858,1,,,0.0,s2n1d1o7,,,,,0,0.0,https://app.prolific.com/submissions/complete?cc=C1NE65SS,1.0,My_survey_static,20,,0.0,298211,1,1,-2,10.58,1,10.55,1672435098,7,10,,19.5,3,1,42.49,-1,1,12.97,1,1,20,,0.0,298211,4,14,-2,6.31,1,5.18,2801349576,2,40,,10.56,3,1,75.47,-2,0,2.42,1,2,20,,0.0,298211,2,142,-2,5.53,1,3.44,2819647305,4,26,,6.36,3,1,58.62,0,0,2.08,1,3,20,,0.0,298211,3,1423,-1,9.72,1,2.53,6485197032,7,30,,16.34,3,1,46.1,-1,0,2.52,1,4,20,,0.0,Democrat,Strong,,1,1,20,,0.0,35-44,Male,,,1,1
