participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.participation_fee,session.config.real_world_currency_per_point,session.config.completionlink,session.config.name,session._events_loaded,session.start_time,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.initialized_round,my_survey_static.1.player.time_start_round,my_survey_static.1.player.assigned_seed,my_survey_static.1.player.seed,my_survey_static.1.player.round_time_left,my_survey_static.1.player.round_timed_out,my_survey_static.1.player.waited_n_refresh,my_survey_static.1.player.topic_number,my_survey_static.1.player.interacted_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.partition_user,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.initialized_round,my_survey_static.2.player.time_start_round,my_survey_static.2.player.assigned_seed,my_survey_static.2.player.seed,my_survey_static.2.player.round_time_left,my_survey_static.2.player.round_timed_out,my_survey_static.2.player.waited_n_refresh,my_survey_static.2.player.topic_number,my_survey_static.2.player.interacted_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.partition_user,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.initialized_round,my_survey_static.3.player.time_start_round,my_survey_static.3.player.assigned_seed,my_survey_static.3.player.seed,my_survey_static.3.player.round_time_left,my_survey_static.3.player.round_timed_out,my_survey_static.3.player.waited_n_refresh,my_survey_static.3.player.topic_number,my_survey_static.3.player.interacted_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.partition_user,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.initialized_round,my_survey_static.4.player.time_start_round,my_survey_static.4.player.assigned_seed,my_survey_static.4.player.seed,my_survey_static.4.player.round_time_left,my_survey_static.4.player.round_timed_out,my_survey_static.4.player.waited_n_refresh,my_survey_static.4.player.topic_number,my_survey_static.4.player.interacted_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.partition_user,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
1,8w3sdh1d,358760.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:44:33.758779,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,1,,0.0,358760,1,1754934273.81,1,113.0,73.0,0,0.0,3.0,3.0,-1.0,356.08,-1.0,1.0,19.26,2879450631.0,5.0,35.0,0.0,6.55,3.0,1.0,146.47,0.0,0.0,7.6,1,1,1,,0.0,358760,1,1754934811.14,1,132.0,416.0,0,0.0,2.0,32.0,-2.0,13.92,-1.0,1.0,42.06,5741829630.0,2.0,24.0,0.0,1.2,3.0,1.0,128.33,1.0,0.0,2.68,1,2,1,,0.0,358760,1,1754934999.6,1,124.0,432.0,0,0.0,4.0,324.0,-2.0,7.42,-1.0,1.0,1.94,2168953740.0,5.0,45.0,0.0,14.48,3.0,1.0,146.79,0.0,0.0,2.76,1,3,1,,0.0,358760,1,1754935173.26,1,211.0,491.0,0,0.0,1.0,3241.0,-2.0,6.12,-1.0,1.0,6.63,6134572089.0,4.0,15.0,0.0,6.84,3.0,1.0,91.69,0.0,1.0,37.82,1,4,1,,0.0,Democrat,Moderate,,1,1,1,,0.0,25-34,Female,,,1,1
2,o3i18zq1,515372.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:44:39.095028,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,2,,0.0,515372,1,1754934279.14,1,132.0,491.0,0,0.0,2.0,2.0,2.0,11.17,1.0,1.0,16.88,5714829630.0,3.0,24.0,0.0,12.48,3.0,1.0,70.41,1.0,0.0,11.45,1,1,2,,0.0,515372,1,1754934401.9,1,223.0,530.0,0,0.0,3.0,23.0,2.0,7.25,1.0,1.0,5.27,3408162579.0,6.0,32.0,-1.0,11.6,3.0,1.0,47.29,-1.0,0.0,3.05,1,2,2,,0.0,515372,1,1754934476.68,1,114.0,519.0,0,0.0,4.0,234.0,1.0,7.82,1.0,1.0,2.74,1752309648.0,2.0,45.0,0.0,8.17,2.0,1.0,64.72,0.0,0.0,5.08,1,3,2,,0.0,515372,1,1754934565.6,1,111.0,362.0,0,0.0,1.0,2341.0,2.0,4.94,1.0,1.0,3.07,4158063927.0,6.0,13.0,-1.0,17.73,3.0,1.0,214.63,-2.0,0.0,8.0,1,4,2,,0.0,Republican,Moderate,,1,1,2,,0.0,35-44,Female,,"the page crashed earlier when i was finished with the 4th article, but after refreshing a few times the rest of the study came back",1,1
3,mi0j63uw,718890.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:45:08.694618,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,3,,0.0,718890,1,1754934308.79,1,214.0,458.0,0,0.0,4.0,4.0,-2.0,7.88,-1.0,1.0,11.85,8190432567.0,7.0,45.0,0.0,29.57,1.0,1.0,95.93,-1.0,0.0,6.86,1,1,3,,0.0,718890,1,1754934461.47,1,231.0,468.0,0,0.0,1.0,41.0,-2.0,3.51,-1.0,1.0,4.21,4532987160.0,1.0,15.0,0.0,14.21,3.0,1.0,111.03,0.0,0.0,4.5,1,2,3,,0.0,718890,1,1754934599.55,1,122.0,529.0,0,0.0,2.0,412.0,-2.0,2.96,-1.0,1.0,2.57,5249178630.0,9.0,20.0,-2.0,24.26,2.0,1.0,43.37,-2.0,0.0,4.38,1,3,3,,0.0,718890,1,1754934677.93,1,123.0,534.0,0,0.0,3.0,4123.0,-1.0,3.43,-1.0,1.0,3.25,4310679285.0,0.0,34.0,0.0,13.45,3.0,1.0,47.88,-1.0,0.0,4.95,1,4,3,,0.0,Democrat,Strong,,1,1,3,,0.0,45-54,Male,,,1,1
4,bxivpoqk,176074.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:45:08.974694,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,4,,0.0,176074,1,1754934309.03,1,131.0,537.0,0,0.0,1.0,1.0,2.0,6.63,1.0,1.0,10.03,1507826439.0,7.0,14.0,0.0,14.92,3.0,1.0,33.25,-1.0,1.0,19.17,1,1,4,,0.0,176074,1,1754934393.36,1,222.0,563.0,0,0.0,2.0,12.0,-1.0,7.26,-1.0,1.0,3.07,3146078295.0,3.0,26.0,1.0,8.0,3.0,1.0,19.3,0.0,0.0,1.96,1,2,4,,0.0,176074,1,1754934433.72,1,124.0,566.0,0,0.0,4.0,124.0,0.0,5.15,0.0,1.0,2.9,2618953740.0,2.0,41.0,-2.0,6.45,3.0,1.0,21.44,0.0,0.0,3.1,1,3,4,,0.0,176074,1,1754934473.07,1,233.0,555.0,0,0.0,3.0,1243.0,1.0,4.78,1.0,1.0,2.64,3590416827.0,0.0,33.0,-1.0,6.61,3.0,1.0,33.78,0.0,0.0,2.31,1,4,4,,0.0,Independent,,Republican Party,1,1,4,,0.0,25-34,Male,,,1,1
5,j639xu6p,279886.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:45:25.929935,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,5,,0.0,279886,1,1754934326.05,1,234.0,342.0,0,0.0,4.0,4.0,2.0,15.57,1.0,1.0,17.12,1437852906.0,3.0,47.0,1.0,45.72,0.0,1.0,181.27,0.0,0.0,27.49,1,1,5,,0.0,279886,1,1754934613.87,1,112.0,493.0,0,0.0,2.0,42.0,1.0,16.03,1.0,1.0,8.86,4276358019.0,0.0,24.0,0.0,7.33,0.0,1.0,76.49,-1.0,0.0,10.4,1,2,5,,0.0,279886,1,1754934733.64,1,121.0,521.0,0,0.0,1.0,421.0,2.0,18.44,1.0,1.0,3.73,5204697381.0,4.0,16.0,1.0,17.07,3.0,1.0,41.76,0.0,0.0,8.27,1,3,5,,0.0,279886,1,1754934823.53,1,123.0,539.0,0,0.0,3.0,4213.0,2.0,9.21,1.0,1.0,5.24,4310679285.0,3.0,30.0,-2.0,17.13,0.0,0.0,30.64,-2.0,1.0,40.33,1,4,5,,0.0,Republican,Strong,,1,1,5,,0.0,55-64,Female,,Thank you :),1,1
6,veny3v5y,735276.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:45:29.242852,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,6,,0.0,735276,1,1754934329.32,1,212.0,334.0,0,0.0,2.0,2.0,2.0,21.6,1.0,1.0,24.77,9745168032.0,6.0,28.0,2.0,88.77,0.0,1.0,133.39,1.0,0.0,9.7,1,1,6,,0.0,735276,1,1754934608.23,1,134.0,343.0,0,0.0,4.0,24.0,2.0,23.56,1.0,1.0,29.45,4127895036.0,5.0,49.0,2.0,45.79,3.0,1.0,160.74,2.0,0.0,4.51,1,2,6,,0.0,735276,1,1754934873.1,1,231.0,447.0,0,0.0,1.0,241.0,1.0,16.38,1.0,1.0,16.67,7916024583.0,3.0,16.0,1.0,33.69,3.0,1.0,88.38,1.0,0.0,13.36,1,3,6,,0.0,735276,1,1754935041.98,1,233.0,507.0,0,0.0,3.0,2413.0,2.0,19.67,1.0,1.0,9.11,3590416827.0,2.0,39.0,2.0,16.35,3.0,1.0,49.1,2.0,0.0,4.3,1,4,6,,0.0,Republican,Strong,,1,1,6,,0.0,45-54,Female,,,1,1
7,1hf2q13s,969249.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:46:33.618093,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,7,,0.0,969249,1,1754934394.2,1,221.0,366.0,0,0.0,1.0,1.0,2.0,35.71,1.0,1.0,28.56,6732584019.0,8.0,11.0,-2.0,54.43,2.0,1.0,117.09,-1.0,1.0,69.23,1,1,7,,0.0,969249,1,1754934701.16,1,232.0,401.0,0,0.0,2.0,12.0,2.0,87.56,1.0,1.0,11.51,9147602853.0,2.0,24.0,0.0,4.57,2.0,1.0,97.52,0.0,1.0,26.12,1,2,7,,0.0,969249,1,1754934930.93,1,113.0,433.0,0,0.0,3.0,123.0,2.0,11.08,1.0,1.0,3.52,2879540631.0,6.0,30.0,-2.0,4.93,1.0,1.0,149.61,-2.0,0.0,3.82,1,3,7,,0.0,969249,1,1754935105.35,1,134.0,482.0,0,0.0,4.0,1234.0,-2.0,18.07,-1.0,1.0,7.97,4129785036.0,8.0,43.0,-1.0,31.49,2.0,1.0,62.08,0.0,0.0,3.78,1,4,7,,0.0,Republican,Strong,,1,1,7,,0.0,25-34,Female,,,1,1
8,b5h4hbef,557526.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:48:48.361437,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,8,,0.0,557526,1,1754934528.67,1,232.0,470.0,0,0.0,2.0,2.0,-2.0,38.52,-1.0,1.0,20.06,124679853.0,3.0,24.0,0.0,27.77,3.0,1.0,45.3,0.0,1.0,28.34,1,1,8,,0.0,557526,1,1754934690.54,1,211.0,505.0,0,0.0,1.0,21.0,-1.0,30.24,-1.0,1.0,15.4,1634572089.0,1.0,16.0,1.0,18.8,0.0,1.0,32.03,-1.0,1.0,25.56,1,2,8,,0.0,557526,1,1754934814.25,1,223.0,510.0,0,0.0,3.0,213.0,-1.0,33.26,-1.0,1.0,12.74,325468179.0,4.0,34.0,0.0,23.79,3.0,1.0,22.89,1.0,1.0,18.34,1,3,8,,0.0,557526,1,1754934929.79,1,114.0,525.0,0,0.0,4.0,2134.0,-2.0,26.67,-1.0,1.0,12.69,5172309648.0,3.0,42.0,-1.0,17.81,2.0,1.0,20.58,-1.0,1.0,22.03,1,4,8,,0.0,Republican,Strong,,1,1,8,,0.0,45-54,Male,,"No technical issues encountered—everything worked smoothly! The articles provided clear and balanced information, which made it easier to assess the stances. If anything, it was interesting to see how the language and quotes shaped the tone of each piece. Thanks for the engaging survey!",1,1
9,8emukl36,584957.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:49:08.637760,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,9,,0.0,584957,1,1754934548.7,1,213.0,368.0,0,0.0,3.0,3.0,2.0,26.36,1.0,1.0,25.56,6408971253.0,4.0,39.0,2.0,80.99,0.0,1.0,101.35,2.0,1.0,17.58,1,1,9,,0.0,584957,1,1754934801.01,1,234.0,463.0,0,0.0,4.0,34.0,1.0,14.07,1.0,1.0,7.18,7143852906.0,6.0,42.0,-1.0,31.42,3.0,1.0,85.29,-1.0,1.0,13.43,1,2,9,,0.0,584957,1,1754934952.81,1,222.0,511.0,0,0.0,2.0,342.0,2.0,15.84,1.0,1.0,2.8,4738162950.0,0.0,24.0,0.0,11.93,0.0,1.0,61.75,0.0,0.0,6.39,1,3,9,,0.0,584957,1,1754935051.91,1,131.0,558.0,0,0.0,1.0,3421.0,1.0,8.0,1.0,1.0,2.69,1504782639.0,1.0,15.0,0.0,15.22,3.0,1.0,17.19,0.0,0.0,3.75,1,4,9,,0.0,Republican,Strong,,1,1,9,,0.0,55-64,Male,,,1,1
10,qdo9zuwt,212938.0,0,30,30,demographics_and_payment,PaymentInfo,2025-08-11 17:50:28.596030,1,,,0.0,adg9ubf7,,,,,0,0.0,1.0,https://app.prolific.com/submissions/complete?cc=C16LKMGJ,My_survey_static,1,1754934192.2585087,10,,0.0,212938,1,1754934628.72,1,224.0,449.0,0,0.0,4.0,4.0,0.0,3.07,0.0,1.0,8.51,749621385.0,9.0,45.0,0.0,26.14,3.0,1.0,114.42,-1.0,0.0,11.64,1,1,10,,0.0,212938,1,1754934793.13,1,133.0,435.0,0,0.0,3.0,43.0,1.0,6.4,1.0,1.0,6.16,3950462871.0,4.0,34.0,0.0,10.7,3.0,1.0,143.42,0.0,0.0,4.54,1,2,10,,0.0,212938,1,1754934964.96,1,111.0,519.0,0,0.0,1.0,431.0,1.0,14.7,1.0,1.0,3.42,4153806927.0,0.0,14.0,0.0,2.65,3.0,1.0,62.74,0.0,0.0,3.96,1,3,10,,0.0,212938,1,1754935053.06,1,122.0,520.0,0,0.0,2.0,4312.0,1.0,7.1,1.0,1.0,4.91,5249170863.0,2.0,24.0,0.0,5.54,3.0,1.0,64.47,0.0,0.0,4.1,1,4,10,,0.0,Independent,,Center,1,1,10,,0.0,25-34,Female,,,1,1
