article_id,topic,clean_url,title,abstract,domain,id_bucket,quality_bucket,first_post_time,id_estimation,quality,selected
5467,migration,https://www.nbcnews.com/politics/immigration/florida-migrant-moving-company-gave-gop-cash-ties-desantis-immigration-rcna48967,"Florida migrant-moving company gave GOP cash, has ties to DeSantis' immigration 'czar' and Rep. Matt Gaetz","Vertol Systems, which has lavished money on Republicans, was once represented by Gaetz and his former law partner, who now works for DeSantis.",nbcnews.com,0,4,2022-09-22 19:10:00,-1.26,0.84,1
1630,migration,https://www.npr.org/sections/goatsandsoda/2022/01/30/1075558056/an-african-immigrants-pizza-wins-global-raves-and-overcomes-italian-prejudices,An African immigrant's pizza wins global raves — and overcomes Italian prejudices,Ibrahim Songne's pizza place triumphed over local anti-immigrant sentiments — and now has earned a spot on a worldwide top 50 pizza list! To think — he didn't even like pizza when he first tried it.,npr.org,1,4,2022-01-30 14:00:00,-1.17,0.93,0
3888,migration,https://www.cnn.com/travel/article/refugee-airplane-mystery-reunion-cec/index.html,The $100 bill she gave two sisters on a plane 23 years ago changed their lives. Now finding them has changed hers,"Former refugee Ayda Zugay's decade-long quest to find and thank the woman who gave her $100 and a welcoming message in 1999 has ended. Zugay reunited on Zoom with the mystery woman, Tracy Peck, a day after CNN published a story about her search.",cnn.com,1,3,2022-05-02 21:50:00,-0.81,0.66,1
5453,migration,https://www.businessinsider.com/dr-oz-family-business-fined-millions-for-hiring-undocumented-workers-2022-6,"Dr. Oz says he'll fight to end illegal immigration. A business owned by his family, in which he is a shareholder, faced the largest fine in ICE history for hiring unauthorized workers.","In the largest civil settlement agreement ever levied by ICE, the business paid millions after pleading guilty to hiring unauthorized workers.",businessinsider.com,1,3,2022-06-13 2:00:00,-0.98,0.80,0
3696,migration,https://www.cbsnews.com/news/immigration-jobs-workers-labor-shortage/,America's labor shortage is actually an immigrant shortage,"The U.S. is missing 2 million workers because of slowing immigration, one estimate shows. That's leading to unfilled jobs.",cbsnews.com,1,4,2022-04-08 14:10:00,-0.80,0.88,1
9196,migration,https://www.cbsnews.com/news/military-plane-crash-osprey-california-desert/,"5 Marines dead after aircraft crashes in Southern California desert, officials say","The MV-22 Osprey, belonging to the 3rd Marine Aircraft Wing, went down in a desert area about 50 miles north of the U.S.-Mexico border.",cbsnews.com,2,4,2022-06-09 11:40:00,0.93,0.88,0
7225,migration,https://www.foxnews.com/us/mayra-padron-rifles-machine-gun-mexico-border-trampolines,"Texas woman allegedly busted at US-Mexico border with 44 rifles, disassembled machine gun in trampoline box",Federal authorities have arrested an American woman accused of trying to smuggle a shipment of dozens of rifles in packaged in trampoline packaging into Mexico earlier this week.,foxnews.com,2,2,2022-02-11 23:50:00,1.08,0.53,1
6901,migration,https://www.westernjournal.com/wild-footage-police-nab-illegal-immigrants-hauling-drugs-cartel-high-speed-chase/,Wild Footage: Police Nab Illegal Immigrants Hauling Drugs for Mexican Cartel During High Speed Chase,Illegal immigrants were arrested in Michigan as they were transporting thousands of fentanyl pills from a Mexican cartel.,westernjournal.com,2,0,2022-04-20 18:20:00,1.07,0.21,0
5545,migration,https://dailycaller.com/2022/05/24/border-patrol-agent-killed-texas-shooter/,Border Patrol Agent Rushed Into Texas School And Killed Shooter: REPORT,A border patrol agent reportedly rushed into the Texas elementary school where a gunman opened fire and fatally shot the suspected shooter.,dailycaller.com,2,2,2022-05-25 1:20:00,1.01,0.47,1
4640,migration,https://www.foxnews.com/politics/texas-migrant-bus-arrives-washington-d-c,"First Texas bus drops off migrants blocks from US Capitol in Washington, DC","A bus from Texas arrived in Washington, D.C. Wednesday morning, transporting dozens of illegal immigrants as part of Texas Gov. Greg Abbott’s new plan to counter federal immigration policies during an ongoing border crisis.",foxnews.com,3,2,2022-04-13 12:30:00,1.39,0.53,1
7383,migration,https://www.dailywire.com/news/border-patrol-agent-rushed-into-texas-school-and-killed-shooter-without-waiting-for-backup,Border Patrol Agent Rushed Into Texas School And Killed Shooter Without Waiting For Backup,"— News —Border Patrol Agent Rushed Into Texas School And Killed Shooter Without Waiting For BackupBy Ryan Saavedra•May 25, 2022 DailyWire.com•FacebookTwitterMailSUZANNE CORDEIRO/AFP via Getty Images A U.S. Border Patrol agent who was near the Texas elementary school that was attacked on Tue...",dailywire.com,3,1,2022-05-25 1:30:00,1.30,0.36,0
6294,migration,https://www.foxnews.com/politics/border-patrol-chief-agents-nab-multiple-sex-offenders-drug-hauls,"Border Patrol chief ‘extremely proud’ as agents nab multiple sex offenders, drug hauls over three days",U.S. Border Patrol Chief Raul Ortiz is praising his agents after they nabbed ten sex offenders and a slew of deadly drugs in just a few days.,foxnews.com,3,2,2022-05-30 21:40:00,1.36,0.53,1
3692,migration,https://nypost.com/2022/01/26/leaked-video-reveals-joe-bidens-hush-hush-migrant-invasion/,‘Betraying the American people’: Leaked video reveals Joe Biden’s ‘hush hush’ migrant invasion,"Under the cover of darkness, the Biden administration is transporting illegal immigrants as fast as they can on secret charter flights into unsuspecting communities around the US — all on the taxpa…",nypost.com,3,2,2022-01-27 3:10:00,1.30,0.64,0
4179,migration,https://www.theblaze.com/news/leaked-video-shows-border-patrol-agents-confront-top-officials-over-biden-administration-s-policies,Leaked video shows heated showdown when Border Patrol agents confront top officials over Biden's immigration policies,"Leaked video footage shows that Border Patrol agenda in Laredo, Texas, engaged in a tense exchange with Border Patrol Chief Raul Ortiz on Friday over policies enacted by the Biden administration.The exchange came two days after Border Patrol agents who work in southern Arizona turned their backs on....",theblaze.com,4,1,2022-01-29 18:20:00,2.61,0.32,1
6761,migration,https://www.foxnews.com/politics/border-patrol-agents-arrest-three-sex-offenders-eight-gang-members,CRIMINALS AT THE BORDER: Authorities nab sex offenders and gang members trying to illegally enter US,Border Patrol agents in the Rio Grande Valley Sector this week arrested three sex offenders and eight gang members coming across the southern border as part of migrant groups attempting to enter the United States.,foxnews.com,4,2,2022-01-29 22:30:00,2.30,0.53,0
9464,migration,https://www.foxnews.com/politics/border-child-predator-ecuador-sex-offenders-us-illegally,Border Patrol agents nab ‘child predator’ from Ecuador among slew of sex offenders entering US illegally,"The U.S. Border Patrol announced this week it has arrested a ""child predator"" from Ecuador as he attempted to enter the U.S. illegally — one of a number of sex offenders nabbed coming across the border over the holiday period.",foxnews.com,4,2,2022-01-04 19:40:00,2.75,0.53,1
1271,migration,https://www.breitbart.com/politics/2022/01/14/sirhan-sirhan-to-remain-in-prison-palestinian-who-assassinated-robert-f-kennedy-denied-parole/,Parole Denied: RFK Assassin Sirhan Sirhan Will Remain in Prison,"Sirhan Sirhan, the Palestinian immigrant convicted of assassinating Robert F. Kennedy in 1968, was denied parole Thursday.",breitbart.com,4,1,2022-01-14 10:40:00,2.41,0.30,0
