participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,session.config.real_world_currency_per_point,session.config.name,session.config.completionlink,session.config.participation_fee,my_survey_static.1.player.id_in_group,my_survey_static.1.player.role,my_survey_static.1.player.payoff,my_survey_static.1.player.participant_label,my_survey_static.1.player.topic_number,my_survey_static.1.player.tmp_topics,my_survey_static.1.player.positioning_user,my_survey_static.1.player.time_positioning,my_survey_static.1.player.I_understand,my_survey_static.1.player.time_taskexplaination,my_survey_static.1.player.tmp_ranking,my_survey_static.1.player.click_rank,my_survey_static.1.player.click_id,my_survey_static.1.player.positioning_true,my_survey_static.1.player.time_rankig,my_survey_static.1.player.highlight,my_survey_static.1.player.read_more_highlight,my_survey_static.1.player.time_highlight,my_survey_static.1.player.positioning_text,my_survey_static.1.player.read_more_positioning,my_survey_static.1.player.time_positioning_text,my_survey_static.1.group.id_in_subsession,my_survey_static.1.subsession.round_number,my_survey_static.2.player.id_in_group,my_survey_static.2.player.role,my_survey_static.2.player.payoff,my_survey_static.2.player.participant_label,my_survey_static.2.player.topic_number,my_survey_static.2.player.tmp_topics,my_survey_static.2.player.positioning_user,my_survey_static.2.player.time_positioning,my_survey_static.2.player.I_understand,my_survey_static.2.player.time_taskexplaination,my_survey_static.2.player.tmp_ranking,my_survey_static.2.player.click_rank,my_survey_static.2.player.click_id,my_survey_static.2.player.positioning_true,my_survey_static.2.player.time_rankig,my_survey_static.2.player.highlight,my_survey_static.2.player.read_more_highlight,my_survey_static.2.player.time_highlight,my_survey_static.2.player.positioning_text,my_survey_static.2.player.read_more_positioning,my_survey_static.2.player.time_positioning_text,my_survey_static.2.group.id_in_subsession,my_survey_static.2.subsession.round_number,my_survey_static.3.player.id_in_group,my_survey_static.3.player.role,my_survey_static.3.player.payoff,my_survey_static.3.player.participant_label,my_survey_static.3.player.topic_number,my_survey_static.3.player.tmp_topics,my_survey_static.3.player.positioning_user,my_survey_static.3.player.time_positioning,my_survey_static.3.player.I_understand,my_survey_static.3.player.time_taskexplaination,my_survey_static.3.player.tmp_ranking,my_survey_static.3.player.click_rank,my_survey_static.3.player.click_id,my_survey_static.3.player.positioning_true,my_survey_static.3.player.time_rankig,my_survey_static.3.player.highlight,my_survey_static.3.player.read_more_highlight,my_survey_static.3.player.time_highlight,my_survey_static.3.player.positioning_text,my_survey_static.3.player.read_more_positioning,my_survey_static.3.player.time_positioning_text,my_survey_static.3.group.id_in_subsession,my_survey_static.3.subsession.round_number,my_survey_static.4.player.id_in_group,my_survey_static.4.player.role,my_survey_static.4.player.payoff,my_survey_static.4.player.participant_label,my_survey_static.4.player.topic_number,my_survey_static.4.player.tmp_topics,my_survey_static.4.player.positioning_user,my_survey_static.4.player.time_positioning,my_survey_static.4.player.I_understand,my_survey_static.4.player.time_taskexplaination,my_survey_static.4.player.tmp_ranking,my_survey_static.4.player.click_rank,my_survey_static.4.player.click_id,my_survey_static.4.player.positioning_true,my_survey_static.4.player.time_rankig,my_survey_static.4.player.highlight,my_survey_static.4.player.read_more_highlight,my_survey_static.4.player.time_highlight,my_survey_static.4.player.positioning_text,my_survey_static.4.player.read_more_positioning,my_survey_static.4.player.time_positioning_text,my_survey_static.4.group.id_in_subsession,my_survey_static.4.subsession.round_number,ideology.1.player.id_in_group,ideology.1.player.role,ideology.1.player.payoff,ideology.1.player.leaning,ideology.1.player.leaning_strength,ideology.1.player.center_strength,ideology.1.group.id_in_subsession,ideology.1.subsession.round_number,demographics_and_payment.1.player.id_in_group,demographics_and_payment.1.player.role,demographics_and_payment.1.player.payoff,demographics_and_payment.1.player.age,demographics_and_payment.1.player.gender,demographics_and_payment.1.player.gender_open,demographics_and_payment.1.player.comment,demographics_and_payment.1.group.id_in_subsession,demographics_and_payment.1.subsession.round_number
11,1gaizhax,840829,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:32:00.151321,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,11,,0.0,840829,4,4,-2,19.28,1,15.49,3160947825,8,42,,33.52,3,1,115.74,-1,0,9.57,1,1,11,,0.0,840829,2,42,-2,17.7,1,12.9,4682095137,3,22,,34.17,0,1,76.79,-2,0,10.14,1,2,11,,0.0,840829,3,423,-2,8.4,1,32.09,9632158704,5,35,,23.02,0,1,17.87,0,0,6.63,1,3,11,,0.0,840829,1,4231,-2,8.41,1,5.52,6912574038,2,11,,5.21,0,1,15.27,-2,0,9.34,1,4,11,,0.0,Democrat,Strong,,1,1,11,,0.0,65+,Male,,"Wayyyyy to much text to read, very overwhelming, way more than necessary to be able to answer the basic questions that followed. Really, what was the purpose of making us read lengthy, detailed, meticulous 2-page reports? For “a 10-minute study.”",1,1
12,kvj6h8j2,530727,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:32:07.240626,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,12,,0.0,530727,1,1,-2,40.27,1,58.89,8534971620,1,15,,41.89,0,0,52.57,0,0,7.23,1,1,12,,0.0,530727,3,13,-1,31.33,1,3.56,5429706381,0,35,,20.36,0,1,220.29,0,0,6.76,1,2,12,,0.0,530727,2,132,-2,14.33,1,3.41,0195627438,5,22,,30.18,3,0,6.64,0,0,5.14,1,3,12,,0.0,530727,4,1324,-2,5.96,1,2.2,2137964085,6,44,,17.52,0,0,68.86,0,0,4.06,1,4,12,,0.0,Independent,,Democrat Party,1,1,12,,0.0,55-64,Female,,,1,1
13,znujntr6,684993,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:32:10.399583,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,13,,0.0,684993,4,4,-1,32.25,1,14.52,7034629851,5,42,,42.39,3,0,64.21,-1,0,19.14,1,1,13,,0.0,684993,1,41,-2,19.76,1,7.64,9824637051,8,15,,28.8,0,0,52.1,-1,0,14.94,1,2,13,,0.0,684993,3,413,-2,27.09,1,2.41,0935726814,2,33,,23.7,3,0,21.71,1,0,11.58,1,3,13,,0.0,684993,2,4132,0,9.06,1,4.5,4135287960,2,23,,10.07,0,0,4.1,0,0,19.48,1,4,13,,0.0,Independent,,Center,1,1,13,,0.0,25-34,Female,,,1,1
14,jv42pi2l,975842,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:32:26.569474,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,14,,0.0,975842,4,4,0,26.18,1,7.76,6487509123,7,41,,29.72,3,0,5.06,0,0,30.66,1,1,14,,0.0,975842,2,42,2,8.14,1,2.91,4756390812,5,29,,21.62,3,0,6.23,0,0,3.25,1,2,14,,0.0,975842,3,423,1,6.72,1,2.24,4097518623,7,36,,11.5,3,0,2.85,1,0,2.21,1,3,14,,0.0,975842,1,4231,2,8.52,1,1.76,8014573926,0,18,,20.94,3,0,3.01,-2,0,10.48,1,4,14,,0.0,Republican,Moderate,,1,1,14,,0.0,25-34,Female,,,1,1
15,xan165lw,520583,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:32:34.783982,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,15,,0.0,520583,1,1,-2,5.54,1,5.12,9375482160,1,13,,19.37,0,1,46.81,-1,1,10.57,1,1,15,,0.0,520583,2,12,-2,5.47,1,5.21,5230174689,1,22,,21.5,0,1,30.92,-1,0,2.72,1,2,15,,0.0,520583,3,123,-2,4.3,1,2.12,7281546390,9,30,,13.83,0,1,19.24,-1,0,2.44,1,3,15,,0.0,520583,4,1234,-2,4.39,1,1.77,7540863921,9,41,,12.5,3,1,16.57,-1,0,2.59,1,4,15,,0.0,Democrat,Strong,,1,1,15,,0.0,25-34,Female,,,1,1
16,e9uk2h0v,153567,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:32:36.607289,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,16,,0.0,153567,3,3,1,17.56,1,16.83,8094652173,0,38,,12.98,2,0,27.63,1,1,22.94,1,1,16,,0.0,153567,1,31,1,19.13,1,13.83,6503241987,9,17,,28.28,3,1,35.7,1,1,13.48,1,2,16,,0.0,153567,4,314,0,8.37,1,7.5,8901762354,5,46,,49.32,2,1,15.58,1,1,7.76,1,3,16,,0.0,153567,2,3142,2,8.56,1,9.38,9586107423,0,29,,4.81,2,1,15.22,1,1,12.88,1,4,16,,0.0,Republican,Moderate,,1,1,16,,0.0,55-64,Female,,,1,1
17,lwp4ijez,538613,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:32:39.769280,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,17,,0.0,538613,3,3,2,30.54,1,24.42,7293154068,6,34,,47.3,3,0,25.43,0,0,40.0,1,1,17,,0.0,538613,1,31,2,17.77,1,5.9,6420793851,2,12,,35.18,3,0,7.22,0,0,7.94,1,2,17,,0.0,538613,2,312,-1,15.43,1,4.16,5827469301,4,24,,33.84,3,0,5.66,-1,0,5.7,1,3,17,,0.0,538613,4,3124,-2,20.77,1,3.1,6074592381,4,45,,3.89,2,0,6.27,-1,0,4.2,1,4,17,,0.0,Republican,Strong,,1,1,17,,0.0,35-44,Male,,,1,1
18,71amirv7,287265,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:33:09.649631,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,18,,0.0,287265,1,1,-2,10.91,1,18.59,9430287561,3,10,,61.42,0,1,103.51,-2,0,27.15,1,1,18,,0.0,287265,3,13,-2,29.87,1,21.24,2716043589,1,37,,62.6,3,0,44.77,2,0,16.38,1,2,18,,0.0,287265,4,134,-2,10.96,1,10.26,0875193246,4,41,,35.18,0,0,42.13,-2,0,9.44,1,3,18,,0.0,287265,2,1342,-2,16.98,1,6.64,6314527098,2,21,,49.75,2,0,50.97,-2,0,5.58,1,4,18,,0.0,Democrat,Strong,,1,1,18,,0.0,55-64,Male,,,1,1
19,jc55ns94,326824,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:33:13.435582,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,19,,0.0,326824,2,2,-1,9.97,1,16.27,3901675284,6,25,,20.3,3,1,119.24,0,0,8.52,1,1,19,,0.0,326824,3,23,0,24.34,1,5.04,9407162385,2,30,,6.88,3,1,46.21,0,0,8.68,1,2,19,,0.0,326824,1,231,2,22.69,1,3.48,7069428135,2,16,,6.32,3,1,43.0,0,0,2.91,1,3,19,,0.0,326824,4,2314,-1,9.58,1,2.36,8960235174,4,42,,22.48,3,1,24.48,-1,0,12.94,1,4,19,,0.0,Democrat,Moderate,,1,1,19,,0.0,35-44,Male,,,1,1
20,8w7c5ipg,597694,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:33:17.396756,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,20,,0.0,597694,3,3,1,25.74,1,16.28,6927048135,7,31,,56.5,3,0,51.86,-1,0,21.34,1,1,20,,0.0,597694,2,32,1,25.05,1,17.89,7029364815,8,21,,23.79,0,0,28.31,-2,0,6.1,1,2,20,,0.0,597694,1,321,1,19.3,1,2.93,1046938725,6,18,,13.43,3,0,8.3,1,0,22.99,1,3,20,,0.0,597694,4,3214,1,17.33,1,7.82,3127456098,4,44,,25.3,3,0,7.79,0,0,6.94,1,4,20,,0.0,Democrat,Moderate,,1,1,20,,0.0,35-44,Male,,,1,1
21,20olmw7d,650261,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:33:42.812839,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,1,,0.0,650261,1,1,2,38.14,1,40.3,3784295601,4,12,,14.25,2,1,46.27,2,0,17.55,2,1,1,,0.0,650261,4,14,-2,32.8,1,5.62,2630845719,8,41,,16.28,3,0,41.07,2,0,22.42,2,2,1,,0.0,650261,2,142,-2,24.45,1,11.23,7123065489,6,25,,14.12,0,0,35.34,-1,0,13.71,2,3,1,,0.0,650261,3,1423,-2,16.15,1,2.62,6701243895,9,35,,38.19,2,0,23.3,-1,0,12.68,2,4,21,,0.0,Democrat,Moderate,,1,1,21,,0.0,25-34,Female,,,1,1
22,mxjpv736,637332,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:33:52.875616,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,2,,0.0,637332,1,1,-1,35.58,1,50.07,8249653107,1,12,,39.11,0,1,95.91,-1,0,13.1,2,1,2,,0.0,637332,2,12,-1,13.12,1,18.18,3091854672,0,23,,3.46,1,0,40.68,-1,0,8.88,2,2,2,,0.0,637332,3,123,0,13.14,1,3.15,1763048259,4,30,,12.82,0,0,20.64,1,0,16.11,2,3,2,,0.0,637332,4,1234,-2,68.59,1,3.16,2085641973,0,42,,32.87,2,0,38.22,1,0,24.21,2,4,22,,0.0,Democrat,Moderate,,1,1,22,,0.0,18-24,Male,,,1,1
23,9o8u1yob,359011,0,26,26,demographics_and_payment,PaymentInfo,2025-06-26 15:34:06.079204,1,,,0.0,0dkk7379,,,,,0,1.0,My_survey_static,https://app.prolific.com/submissions/complete?cc=C1DULDOY,0.0,3,,0.0,359011,1,1,-2,14.57,1,10.08,5370142698,0,15,,22.68,3,1,120.8,0,0,6.46,2,1,3,,0.0,359011,4,14,-2,9.56,1,6.7,7694102583,3,44,,64.9,3,1,73.33,0,0,3.0,2,2,3,,0.0,359011,2,142,-2,6.68,1,2.85,5917648023,0,25,,9.63,3,1,76.63,0,0,4.11,2,3,3,,0.0,359011,3,1423,-1,8.82,1,3.58,4920618375,0,34,,8.53,3,1,92.69,0,0,4.3,2,4,23,,0.0,Democrat,Moderate,,1,1,23,,0.0,35-44,Male,,,1,1
