seed,partition,num_news,popularity
131,0,6,13.02
131,0,7,19.08
131,0,8,16.07
131,0,9,14.05
131,1,0,14.01
131,1,1,37.06
131,1,2,19.04
131,1,3,19.09
131,1,4,65.0
131,1,5,37.03
131,1,6,13.02
131,1,7,19.08
131,1,8,16.07
131,1,9,14.05
132,-1,0,15.0
132,-1,1,21.060000000000002
132,-1,2,32.07
132,-1,3,10.02
132,-1,4,64.00999999999999
132,-1,5,54.09
132,-1,6,11.030000000000001
132,-1,7,22.08
132,-1,8,11.05
132,-1,9,12.04
132,0,0,15.0
132,0,1,21.060000000000002
132,0,2,32.07
132,0,3,10.02
132,0,4,64.00999999999999
132,0,5,54.09
132,0,6,11.030000000000001
132,0,7,22.08
132,0,8,11.05
132,0,9,12.04
132,1,0,15.0
132,1,1,21.060000000000002
132,1,2,32.07
132,1,3,10.02
132,1,4,64.00999999999999
132,1,5,54.09
132,1,6,11.030000000000001
132,1,7,22.08
132,1,8,11.05
132,1,9,12.04
133,-1,0,41.09
133,-1,1,13.01
133,-1,2,18.0
133,-1,3,26.08
133,-1,4,52.05
133,-1,5,31.02
133,-1,6,17.03
133,-1,7,14.04
133,-1,8,12.07
133,-1,9,29.060000000000002
133,0,0,41.09
133,0,1,13.01
133,0,2,18.0
133,0,3,26.08
133,0,4,52.05
133,0,5,31.02
133,0,6,17.03
133,0,7,14.04
133,0,8,12.07
133,0,9,29.060000000000002
133,1,0,41.09
133,1,1,13.01
133,1,2,18.0
133,1,3,26.08
133,1,4,52.05
133,1,5,31.02
133,1,6,17.03
133,1,7,14.04
133,1,8,12.07
133,1,9,29.060000000000002
134,-1,0,16.08
134,-1,1,65.0
134,-1,2,28.09
134,-1,3,21.04
134,-1,4,37.01
134,-1,5,29.03
134,-1,6,12.02
134,-1,7,16.07
134,-1,8,19.060000000000002
134,-1,9,10.05
134,0,0,16.08
134,0,1,65.0
134,0,2,28.09
134,0,3,21.04
134,0,4,37.01
134,0,5,29.03
134,0,6,12.02
134,0,7,16.07
134,0,8,19.060000000000002
134,0,9,10.05
134,1,0,16.08
134,1,1,65.0
134,1,2,28.09
134,1,3,21.04
134,1,4,37.01
134,1,5,29.03
134,1,6,12.02
134,1,7,16.07
134,1,8,19.060000000000002
134,1,9,10.05
211,-1,0,1213.05
211,-1,1,515.06
211,-1,2,913.0699999999999
211,-1,3,1624.0
211,-1,4,524.09
211,-1,5,412.03
211,-1,6,1626.08
211,-1,7,407.01
211,-1,8,104.04
211,-1,9,0.02
211,0,0,2.05
211,0,1,202.06
211,0,2,2.0700000000000003
211,0,3,1.0
211,0,4,406.09000000000003
211,0,5,2.0300000000000002
211,0,6,104.08
211,0,7,102.01
211,0,8,0.04
211,0,9,2.02
211,1,0,4.05
211,1,1,206.06
211,1,2,103.07
211,1,3,1122.0
211,1,4,110.09
211,1,5,108.03
211,1,6,205.07999999999998
211,1,7,721.01
211,1,8,307.04
211,1,9,406.02
212,-1,0,813.03
212,-1,1,305.08
212,-1,2,1130.01
212,-1,3,2032.02
212,-1,4,415.09000000000003
212,-1,5,1026.0
212,-1,6,308.07
212,-1,7,406.04
212,-1,8,205.05
212,-1,9,105.06
212,0,0,1.03
212,0,1,101.08
212,0,2,3.01
212,0,3,2.02
212,0,4,610.09
212,0,5,107.0
212,0,6,101.07
212,0,7,304.04
212,0,8,102.05
212,0,9,0.06
212,1,0,1.03
212,1,1,104.08
212,1,2,408.01
212,1,3,102.02
212,1,4,106.09
212,1,5,819.0
212,1,6,203.07
212,1,7,510.04
212,1,8,809.05
212,1,9,1114.06
213,-1,0,1533.05
213,-1,1,104.04
213,-1,2,913.02
213,-1,3,312.0
213,-1,4,125.08
213,-1,5,1120.01
213,-1,6,7.03
213,-1,7,106.06
213,-1,8,103.09
213,-1,9,3.0700000000000003
213,0,0,206.05
213,0,1,0.04
213,0,2,306.02
213,0,3,5.0
213,0,4,110.08
213,0,5,1.01
213,0,6,3.0300000000000002
213,0,7,103.06
213,0,8,2.09
213,0,9,101.07
213,1,0,108.05
213,1,1,0.04
213,1,2,104.02
213,1,3,306.0
213,1,4,718.0799999999999
213,1,5,105.01
213,1,6,1118.03
213,1,7,405.06
213,1,8,508.09000000000003
213,1,9,918.0699999999999
214,-1,0,1114.0
214,-1,1,2350.0299999999997
214,-1,2,1323.04
214,-1,3,814.05
214,-1,4,516.09
214,-1,5,1128.01
214,-1,6,208.07999999999998
214,-1,7,3.0700000000000003
214,-1,8,307.06
214,-1,9,305.02
214,0,0,2.0
214,0,1,103.03
214,0,2,1.04
214,0,3,2.05
214,0,4,307.09000000000003
214,0,5,7.01
214,0,6,101.08
214,0,7,206.07
214,0,8,102.06
214,0,9,101.02
214,1,0,103.0
214,1,1,1.03
214,1,2,405.04
214,1,3,406.05
214,1,4,207.09
214,1,5,204.01
214,1,6,204.07999999999998
214,1,7,511.07
214,1,8,708.06
214,1,9,203.01999999999998
221,-1,0,709.05
221,-1,1,405.01
221,-1,2,710.04
221,-1,3,716.02
221,-1,4,728.06
221,-1,5,1122.08
221,-1,6,1628.03
221,-1,7,304.09000000000003
221,-1,8,1.07
221,-1,9,2.0
221,0,0,101.05
221,0,1,102.01
221,0,2,203.04000000000002
221,0,3,104.02
221,0,4,205.06
221,0,5,311.08
221,0,6,0.03
221,0,7,305.09000000000003
221,0,8,1.07
221,0,9,0.0
221,1,0,103.05
221,1,1,307.01
221,1,2,5.04
221,1,3,211.01999999999998
221,1,4,718.06
221,1,5,10.08
221,1,6,312.03
221,1,7,308.09000000000003
221,1,8,411.07
221,1,9,610.0
222,-1,0,415.0
222,-1,1,1420.06
222,-1,2,2140.0299999999997
222,-1,3,917.0799999999999
222,-1,4,727.05
222,-1,5,411.01
222,-1,6,4.04
222,-1,7,2.09
222,-1,8,309.07
222,-1,9,305.02
222,0,0,1.0
222,0,1,204.06
222,0,2,202.03
222,0,3,0.08
222,0,4,205.05
222,0,5,2.01
222,0,6,0.04
222,0,7,104.09
222,0,8,1.07
222,0,9,506.02
222,1,0,101.0
222,1,1,102.06
222,1,2,103.03
222,1,3,101.08
222,1,4,1020.05
222,1,5,411.01
222,1,6,103.04
222,1,7,612.09
222,1,8,513.0699999999999
222,1,9,711.02
223,-1,0,2341.04
223,-1,1,204.07999999999998
223,-1,2,813.03
223,-1,3,717.0699999999999
223,-1,4,1024.06
223,-1,5,709.02
223,-1,6,308.05
223,-1,7,2.01
223,-1,8,104.09
223,-1,9,206.0
223,0,0,303.04
223,0,1,0.08
223,0,2,101.03
223,0,3,103.07
223,0,4,918.06
223,0,5,104.02
223,0,6,1.05
223,0,7,101.01
223,0,8,1.09
223,0,9,103.0
223,1,0,309.04
223,1,1,405.08
223,1,2,1.03
223,1,3,814.0699999999999
